1, none, minecraft:the_void, MONSTER, mna:lantern_wraith, 10, 1, 3
826, jungle, minecraft:jungle, CREATURE, minecraft:sheep, 12, 4, 4
827, jungle, minecraft:jungle, CREATURE, minecraft:pig, 10, 4, 4
828, jungle, minecraft:jungle, CREATURE, minecraft:chicken, 10, 4, 4
829, jungle, minecraft:jungle, CREATURE, minecraft:cow, 10, 4, 4
830, jungle, minecraft:jungle, CREATURE, minecraft:chicken, 10, 4, 4
831, jungle, minecraft:jungle, CREATURE, minecraft:parrot, 40, 1, 2
832, jungle, minecraft:jungle, CREATURE, minecraft:panda, 10, 1, 2
833, jungle, minecraft:jungle, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
834, jungle, minecraft:jungle, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
835, jungle, minecraft:jungle, CREATURE, ars_nouveau:drygmy, 10, 1, 1
836, jungle, minecraft:jungle, AMBIENT, minecraft:bat, 10, 8, 8
837, jungle, minecraft:jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
838, jungle, minecraft:sparse_jungle, MONSTER, minecraft:spider, 50, 4, 4
839, jungle, minecraft:sparse_jungle, MONSTER, minecraft:zombie, 50, 4, 4
840, jungle, minecraft:sparse_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
841, jungle, minecraft:sparse_jungle, MONSTER, minecraft:skeleton, 50, 4, 4
842, jungle, minecraft:sparse_jungle, MONSTER, minecraft:slime, 50, 4, 4
843, jungle, minecraft:sparse_jungle, MONSTER, minecraft:enderman, 5, 1, 4
844, jungle, minecraft:sparse_jungle, MONSTER, minecraft:witch, 5, 1, 1
845, jungle, minecraft:sparse_jungle, MONSTER, vampirism:vampire, 50, 1, 3
846, jungle, minecraft:sparse_jungle, MONSTER, vampirism:advanced_vampire, 26, 1, 1
847, jungle, minecraft:sparse_jungle, MONSTER, creeperoverhaul:jungle_creeper, 50, 2, 2
848, jungle, minecraft:sparse_jungle, MONSTER, creeperoverhaul:bamboo_creeper, 50, 2, 2
849, jungle, minecraft:sparse_jungle, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
850, jungle, minecraft:sparse_jungle, MONSTER, graveyard:ghoul, 25, 2, 5
851, jungle, minecraft:sparse_jungle, MONSTER, graveyard:revenant, 25, 5, 8
852, jungle, minecraft:sparse_jungle, MONSTER, graveyard:reaper, 10, 2, 3
853, jungle, minecraft:sparse_jungle, MONSTER, graveyard:nightmare, 10, 1, 1
854, jungle, minecraft:sparse_jungle, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
855, jungle, minecraft:sparse_jungle, MONSTER, graveyard:acolyte, 10, 2, 3
856, jungle, minecraft:sparse_jungle, MONSTER, mna:witch_hunter, 16, 1, 3
857, jungle, minecraft:sparse_jungle, MONSTER, mna:pixie, 16, 1, 3
858, jungle, minecraft:sparse_jungle, MONSTER, mna:hulking_zombie, 16, 1, 3
859, jungle, minecraft:sparse_jungle, MONSTER, mna:mushroom_soldier, 16, 1, 3
860, jungle, minecraft:sparse_jungle, MONSTER, mna:spell_breaker, 16, 1, 3
861, jungle, minecraft:sparse_jungle, MONSTER, mna:skeleton_assassin, 16, 1, 3
862, jungle, minecraft:sparse_jungle, MONSTER, player_mobs:player_mob, 50, 1, 4
863, jungle, minecraft:sparse_jungle, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
864, jungle, minecraft:sparse_jungle, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
865, jungle, minecraft:sparse_jungle, MONSTER, quark:stoneling, 50, 1, 1
866, jungle, minecraft:sparse_jungle, MONSTER, quark:toretoise, 50, 2, 4
867, jungle, minecraft:sparse_jungle, CREATURE, minecraft:sheep, 12, 4, 4
868, jungle, minecraft:sparse_jungle, CREATURE, minecraft:pig, 10, 4, 4
869, jungle, minecraft:sparse_jungle, CREATURE, minecraft:chicken, 10, 4, 4
870, jungle, minecraft:sparse_jungle, CREATURE, minecraft:cow, 10, 4, 4
871, jungle, minecraft:sparse_jungle, CREATURE, minecraft:chicken, 10, 4, 4
872, jungle, minecraft:sparse_jungle, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
873, jungle, minecraft:sparse_jungle, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
874, jungle, minecraft:sparse_jungle, CREATURE, ars_nouveau:drygmy, 10, 1, 1
875, jungle, minecraft:sparse_jungle, AMBIENT, minecraft:bat, 10, 8, 8
876, jungle, minecraft:sparse_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
877, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:spider, 50, 4, 4
878, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie, 50, 4, 4
879, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:zombie_villager, 10, 1, 1
880, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:skeleton, 50, 4, 4
881, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:slime, 50, 4, 4
882, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:enderman, 5, 1, 4
883, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:witch, 5, 1, 1
884, jungle, minecraft:bamboo_jungle, MONSTER, minecraft:ocelot, 10, 1, 1
885, jungle, minecraft:bamboo_jungle, MONSTER, vampirism:vampire, 50, 1, 3
886, jungle, minecraft:bamboo_jungle, MONSTER, vampirism:advanced_vampire, 26, 1, 1
887, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:jungle_creeper, 50, 2, 2
888, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:bamboo_creeper, 50, 2, 2
889, jungle, minecraft:bamboo_jungle, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
890, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:ghoul, 25, 2, 5
891, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:revenant, 25, 5, 8
892, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:reaper, 10, 2, 3
893, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:nightmare, 10, 1, 1
894, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
895, jungle, minecraft:bamboo_jungle, MONSTER, graveyard:acolyte, 10, 2, 3
896, jungle, minecraft:bamboo_jungle, MONSTER, mna:witch_hunter, 16, 1, 3
897, jungle, minecraft:bamboo_jungle, MONSTER, mna:pixie, 16, 1, 3
898, jungle, minecraft:bamboo_jungle, MONSTER, mna:hulking_zombie, 16, 1, 3
899, jungle, minecraft:bamboo_jungle, MONSTER, mna:mushroom_soldier, 16, 1, 3
900, jungle, minecraft:bamboo_jungle, MONSTER, mna:spell_breaker, 16, 1, 3
901, jungle, minecraft:bamboo_jungle, MONSTER, mna:skeleton_assassin, 16, 1, 3
902, jungle, minecraft:bamboo_jungle, MONSTER, player_mobs:player_mob, 50, 1, 4
903, jungle, minecraft:bamboo_jungle, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
904, jungle, minecraft:bamboo_jungle, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
905, jungle, minecraft:bamboo_jungle, MONSTER, quark:stoneling, 50, 1, 1
906, jungle, minecraft:bamboo_jungle, MONSTER, quark:toretoise, 50, 2, 4
907, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:sheep, 12, 4, 4
908, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:pig, 10, 4, 4
909, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
910, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:cow, 10, 4, 4
911, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:chicken, 10, 4, 4
912, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:parrot, 40, 1, 2
913, jungle, minecraft:bamboo_jungle, CREATURE, minecraft:panda, 50, 1, 2
914, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
915, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
916, jungle, minecraft:bamboo_jungle, CREATURE, ars_nouveau:drygmy, 10, 1, 1
917, jungle, minecraft:bamboo_jungle, AMBIENT, minecraft:bat, 10, 8, 8
918, jungle, minecraft:bamboo_jungle, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
919, mesa, minecraft:badlands, MONSTER, minecraft:spider, 50, 4, 4
920, mesa, minecraft:badlands, MONSTER, minecraft:zombie, 50, 4, 4
921, mesa, minecraft:badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
922, mesa, minecraft:badlands, MONSTER, minecraft:skeleton, 50, 4, 4
923, mesa, minecraft:badlands, MONSTER, minecraft:slime, 50, 4, 4
924, mesa, minecraft:badlands, MONSTER, minecraft:enderman, 5, 1, 4
925, mesa, minecraft:badlands, MONSTER, minecraft:witch, 5, 1, 1
926, mesa, minecraft:badlands, MONSTER, vampirism:vampire, 50, 1, 3
927, mesa, minecraft:badlands, MONSTER, vampirism:advanced_vampire, 26, 1, 1
928, mesa, minecraft:badlands, MONSTER, creeperoverhaul:badlands_creeper, 50, 2, 2
929, mesa, minecraft:badlands, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
930, mesa, minecraft:badlands, MONSTER, graveyard:ghoul, 25, 2, 5
931, mesa, minecraft:badlands, MONSTER, graveyard:revenant, 25, 5, 8
932, mesa, minecraft:badlands, MONSTER, graveyard:reaper, 10, 2, 3
933, mesa, minecraft:badlands, MONSTER, graveyard:nightmare, 10, 1, 1
934, mesa, minecraft:badlands, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
935, mesa, minecraft:badlands, MONSTER, graveyard:acolyte, 10, 2, 3
936, mesa, minecraft:badlands, MONSTER, mna:witch_hunter, 16, 1, 3
937, mesa, minecraft:badlands, MONSTER, mna:pixie, 16, 1, 3
938, mesa, minecraft:badlands, MONSTER, mna:hulking_zombie, 16, 1, 3
939, mesa, minecraft:badlands, MONSTER, mna:mushroom_soldier, 16, 1, 3
940, mesa, minecraft:badlands, MONSTER, mna:spell_breaker, 16, 1, 3
941, mesa, minecraft:badlands, MONSTER, mna:skeleton_assassin, 16, 1, 3
942, mesa, minecraft:badlands, MONSTER, player_mobs:player_mob, 50, 1, 4
943, mesa, minecraft:badlands, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
944, mesa, minecraft:badlands, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
945, mesa, minecraft:badlands, MONSTER, quark:stoneling, 50, 1, 1
946, mesa, minecraft:badlands, MONSTER, quark:toretoise, 50, 2, 4
947, mesa, minecraft:badlands, CREATURE, ars_nouveau:drygmy, 10, 1, 1
948, mesa, minecraft:badlands, AMBIENT, minecraft:bat, 10, 8, 8
949, mesa, minecraft:badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
950, mesa, minecraft:eroded_badlands, MONSTER, minecraft:spider, 50, 4, 4
951, mesa, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 50, 4, 4
952, mesa, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
953, mesa, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 50, 4, 4
954, mesa, minecraft:eroded_badlands, MONSTER, minecraft:slime, 50, 4, 4
955, mesa, minecraft:eroded_badlands, MONSTER, minecraft:enderman, 5, 1, 4
956, mesa, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
957, mesa, minecraft:eroded_badlands, MONSTER, vampirism:vampire, 50, 1, 3
958, mesa, minecraft:eroded_badlands, MONSTER, vampirism:advanced_vampire, 26, 1, 1
959, mesa, minecraft:eroded_badlands, MONSTER, creeperoverhaul:badlands_creeper, 50, 2, 2
960, mesa, minecraft:eroded_badlands, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
961, mesa, minecraft:eroded_badlands, MONSTER, graveyard:ghoul, 25, 2, 5
962, mesa, minecraft:eroded_badlands, MONSTER, graveyard:revenant, 25, 5, 8
963, mesa, minecraft:eroded_badlands, MONSTER, graveyard:reaper, 10, 2, 3
964, mesa, minecraft:eroded_badlands, MONSTER, graveyard:nightmare, 10, 1, 1
965, mesa, minecraft:eroded_badlands, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
966, mesa, minecraft:eroded_badlands, MONSTER, graveyard:acolyte, 10, 2, 3
967, mesa, minecraft:eroded_badlands, MONSTER, mna:witch_hunter, 16, 1, 3
968, mesa, minecraft:eroded_badlands, MONSTER, mna:pixie, 16, 1, 3
969, mesa, minecraft:eroded_badlands, MONSTER, mna:hulking_zombie, 16, 1, 3
970, mesa, minecraft:eroded_badlands, MONSTER, mna:mushroom_soldier, 16, 1, 3
971, mesa, minecraft:eroded_badlands, MONSTER, mna:spell_breaker, 16, 1, 3
972, mesa, minecraft:eroded_badlands, MONSTER, mna:skeleton_assassin, 16, 1, 3
973, mesa, minecraft:eroded_badlands, MONSTER, player_mobs:player_mob, 50, 1, 4
974, mesa, minecraft:eroded_badlands, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
975, mesa, minecraft:eroded_badlands, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
976, mesa, minecraft:eroded_badlands, MONSTER, quark:stoneling, 50, 1, 1
977, mesa, minecraft:eroded_badlands, MONSTER, quark:toretoise, 50, 2, 4
978, mesa, minecraft:eroded_badlands, CREATURE, ars_nouveau:drygmy, 10, 1, 1
979, mesa, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
980, mesa, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
981, mesa, minecraft:wooded_badlands, MONSTER, minecraft:spider, 50, 4, 4
982, mesa, minecraft:wooded_badlands, MONSTER, minecraft:zombie, 50, 4, 4
983, mesa, minecraft:wooded_badlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
984, mesa, minecraft:wooded_badlands, MONSTER, minecraft:skeleton, 50, 4, 4
985, mesa, minecraft:wooded_badlands, MONSTER, minecraft:slime, 50, 4, 4
986, mesa, minecraft:wooded_badlands, MONSTER, minecraft:enderman, 5, 1, 4
987, mesa, minecraft:wooded_badlands, MONSTER, minecraft:witch, 5, 1, 1
988, mesa, minecraft:wooded_badlands, MONSTER, vampirism:vampire, 50, 1, 3
989, mesa, minecraft:wooded_badlands, MONSTER, vampirism:advanced_vampire, 26, 1, 1
990, mesa, minecraft:wooded_badlands, MONSTER, creeperoverhaul:badlands_creeper, 50, 2, 2
991, mesa, minecraft:wooded_badlands, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
992, mesa, minecraft:wooded_badlands, MONSTER, graveyard:ghoul, 25, 2, 5
993, mesa, minecraft:wooded_badlands, MONSTER, graveyard:revenant, 25, 5, 8
994, mesa, minecraft:wooded_badlands, MONSTER, graveyard:reaper, 10, 2, 3
995, mesa, minecraft:wooded_badlands, MONSTER, graveyard:nightmare, 10, 1, 1
996, mesa, minecraft:wooded_badlands, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
997, mesa, minecraft:wooded_badlands, MONSTER, graveyard:acolyte, 10, 2, 3
998, mesa, minecraft:wooded_badlands, MONSTER, mna:witch_hunter, 16, 1, 3
999, mesa, minecraft:wooded_badlands, MONSTER, mna:pixie, 16, 1, 3
1000, mesa, minecraft:wooded_badlands, MONSTER, mna:hulking_zombie, 16, 1, 3
1001, mesa, minecraft:wooded_badlands, MONSTER, mna:mushroom_soldier, 16, 1, 3
1002, mesa, minecraft:wooded_badlands, MONSTER, mna:spell_breaker, 16, 1, 3
1003, mesa, minecraft:wooded_badlands, MONSTER, mna:skeleton_assassin, 16, 1, 3
1004, mesa, minecraft:wooded_badlands, MONSTER, player_mobs:player_mob, 50, 1, 4
1005, mesa, minecraft:wooded_badlands, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1006, mesa, minecraft:wooded_badlands, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1007, mesa, minecraft:wooded_badlands, MONSTER, quark:stoneling, 50, 1, 1
1008, mesa, minecraft:wooded_badlands, MONSTER, quark:toretoise, 50, 2, 4
1009, mesa, minecraft:wooded_badlands, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1010, mesa, minecraft:wooded_badlands, CREATURE, quark:shiba, 40, 1, 3
1011, mesa, minecraft:wooded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
1012, mesa, minecraft:wooded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1013, mountain, minecraft:meadow, MONSTER, minecraft:spider, 50, 4, 4
1014, mountain, minecraft:meadow, MONSTER, minecraft:zombie, 50, 4, 4
1015, mountain, minecraft:meadow, MONSTER, minecraft:zombie_villager, 10, 1, 1
1016, mountain, minecraft:meadow, MONSTER, minecraft:skeleton, 50, 4, 4
1017, mountain, minecraft:meadow, MONSTER, minecraft:slime, 50, 4, 4
1018, mountain, minecraft:meadow, MONSTER, minecraft:enderman, 5, 1, 4
1019, mountain, minecraft:meadow, MONSTER, minecraft:witch, 5, 1, 1
1020, mountain, minecraft:meadow, MONSTER, vampirism:vampire, 50, 1, 3
1021, mountain, minecraft:meadow, MONSTER, vampirism:advanced_vampire, 26, 1, 1
1022, mountain, minecraft:meadow, MONSTER, creeperoverhaul:hills_creeper, 50, 2, 2
1023, mountain, minecraft:meadow, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
1024, mountain, minecraft:meadow, MONSTER, graveyard:ghoul, 25, 2, 5
1025, mountain, minecraft:meadow, MONSTER, graveyard:revenant, 25, 5, 8
1026, mountain, minecraft:meadow, MONSTER, graveyard:reaper, 10, 2, 3
1027, mountain, minecraft:meadow, MONSTER, graveyard:nightmare, 10, 1, 1
1028, mountain, minecraft:meadow, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
1029, mountain, minecraft:meadow, MONSTER, graveyard:acolyte, 10, 2, 3
1030, mountain, minecraft:meadow, MONSTER, mna:witch_hunter, 16, 1, 3
1031, mountain, minecraft:meadow, MONSTER, mna:pixie, 16, 1, 3
1032, mountain, minecraft:meadow, MONSTER, mna:hulking_zombie, 16, 1, 3
1033, mountain, minecraft:meadow, MONSTER, mna:mushroom_soldier, 16, 1, 3
1034, mountain, minecraft:meadow, MONSTER, mna:spell_breaker, 16, 1, 3
1035, mountain, minecraft:meadow, MONSTER, mna:skeleton_assassin, 16, 1, 3
1036, mountain, minecraft:meadow, MONSTER, player_mobs:player_mob, 50, 1, 4
1037, mountain, minecraft:meadow, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1038, mountain, minecraft:meadow, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1039, mountain, minecraft:meadow, MONSTER, quark:stoneling, 50, 1, 1
1040, mountain, minecraft:meadow, MONSTER, quark:toretoise, 50, 2, 4
1041, mountain, minecraft:meadow, CREATURE, minecraft:donkey, 10, 1, 2
1042, mountain, minecraft:meadow, CREATURE, minecraft:rabbit, 10, 2, 6
1043, mountain, minecraft:meadow, CREATURE, minecraft:sheep, 10, 2, 4
1044, mountain, minecraft:meadow, CREATURE, elwms:elwms, 10, 2, 3
1045, mountain, minecraft:meadow, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
1046, mountain, minecraft:meadow, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
1047, mountain, minecraft:meadow, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1048, mountain, minecraft:meadow, CREATURE, quark:shiba, 40, 1, 3
1049, mountain, minecraft:meadow, AMBIENT, minecraft:bat, 10, 8, 8
1050, mountain, minecraft:meadow, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1051, forest, minecraft:grove, MONSTER, minecraft:spider, 50, 4, 4
1052, forest, minecraft:grove, MONSTER, minecraft:zombie, 50, 4, 4
1053, forest, minecraft:grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
1054, forest, minecraft:grove, MONSTER, minecraft:skeleton, 50, 4, 4
1055, forest, minecraft:grove, MONSTER, minecraft:creeper, 50, 4, 4
1056, forest, minecraft:grove, MONSTER, minecraft:slime, 50, 4, 4
1057, forest, minecraft:grove, MONSTER, minecraft:enderman, 5, 1, 4
1058, forest, minecraft:grove, MONSTER, minecraft:witch, 5, 1, 1
1059, forest, minecraft:grove, MONSTER, vampirism:vampire, 50, 1, 3
1060, forest, minecraft:grove, MONSTER, vampirism:advanced_vampire, 26, 1, 1
1061, forest, minecraft:grove, MONSTER, graveyard:ghoul, 25, 2, 5
1062, forest, minecraft:grove, MONSTER, graveyard:revenant, 25, 5, 8
1063, forest, minecraft:grove, MONSTER, graveyard:reaper, 10, 2, 3
1064, forest, minecraft:grove, MONSTER, graveyard:nightmare, 10, 1, 1
1065, forest, minecraft:grove, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
1066, forest, minecraft:grove, MONSTER, graveyard:acolyte, 10, 2, 3
1067, forest, minecraft:grove, MONSTER, mna:witch_hunter, 16, 1, 3
1068, forest, minecraft:grove, MONSTER, mna:pixie, 16, 1, 3
1069, forest, minecraft:grove, MONSTER, mna:hulking_zombie, 16, 1, 3
1070, forest, minecraft:grove, MONSTER, mna:mushroom_soldier, 16, 1, 3
1071, forest, minecraft:grove, MONSTER, mna:spell_breaker, 16, 1, 3
1072, forest, minecraft:grove, MONSTER, mna:skeleton_assassin, 16, 1, 3
1073, forest, minecraft:grove, MONSTER, player_mobs:player_mob, 50, 1, 4
1074, forest, minecraft:grove, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
1075, forest, minecraft:grove, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1076, forest, minecraft:grove, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1077, forest, minecraft:grove, MONSTER, quark:stoneling, 50, 1, 1
1078, forest, minecraft:grove, MONSTER, quark:toretoise, 50, 2, 4
1079, forest, minecraft:grove, CREATURE, minecraft:sheep, 12, 4, 4
1080, forest, minecraft:grove, CREATURE, minecraft:pig, 10, 4, 4
1081, forest, minecraft:grove, CREATURE, minecraft:chicken, 10, 4, 4
1082, forest, minecraft:grove, CREATURE, minecraft:cow, 10, 4, 4
1083, forest, minecraft:grove, CREATURE, minecraft:wolf, 10, 4, 4
1084, forest, minecraft:grove, CREATURE, minecraft:rabbit, 10, 2, 3
1085, forest, minecraft:grove, CREATURE, minecraft:fox, 10, 2, 4
1086, forest, minecraft:grove, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
1087, forest, minecraft:grove, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
1088, forest, minecraft:grove, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1089, forest, minecraft:grove, CREATURE, quark:shiba, 40, 1, 3
1090, forest, minecraft:grove, AMBIENT, minecraft:bat, 10, 8, 8
1091, forest, minecraft:grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1092, mountain, minecraft:snowy_slopes, MONSTER, minecraft:spider, 50, 4, 4
1093, mountain, minecraft:snowy_slopes, MONSTER, minecraft:zombie, 50, 4, 4
1094, mountain, minecraft:snowy_slopes, MONSTER, minecraft:zombie_villager, 10, 1, 1
1095, mountain, minecraft:snowy_slopes, MONSTER, minecraft:skeleton, 50, 4, 4
1096, mountain, minecraft:snowy_slopes, MONSTER, minecraft:slime, 50, 4, 4
1097, mountain, minecraft:snowy_slopes, MONSTER, minecraft:enderman, 5, 1, 4
1098, mountain, minecraft:snowy_slopes, MONSTER, minecraft:witch, 5, 1, 1
1099, mountain, minecraft:snowy_slopes, MONSTER, vampirism:vampire, 50, 1, 3
1100, mountain, minecraft:snowy_slopes, MONSTER, vampirism:advanced_vampire, 26, 1, 1
1101, mountain, minecraft:snowy_slopes, MONSTER, creeperoverhaul:snowy_creeper, 50, 2, 2
1102, mountain, minecraft:snowy_slopes, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
1103, mountain, minecraft:snowy_slopes, MONSTER, graveyard:ghoul, 25, 2, 5
1104, mountain, minecraft:snowy_slopes, MONSTER, graveyard:revenant, 25, 5, 8
1105, mountain, minecraft:snowy_slopes, MONSTER, graveyard:reaper, 10, 2, 3
1106, mountain, minecraft:snowy_slopes, MONSTER, graveyard:nightmare, 10, 1, 1
1107, mountain, minecraft:snowy_slopes, MONSTER, graveyard:skeleton_creeper, 20, 1, 4
1108, mountain, minecraft:snowy_slopes, MONSTER, graveyard:acolyte, 10, 2, 3
1109, mountain, minecraft:snowy_slopes, MONSTER, mna:witch_hunter, 16, 1, 3
1110, mountain, minecraft:snowy_slopes, MONSTER, mna:pixie, 16, 1, 3
1111, mountain, minecraft:snowy_slopes, MONSTER, mna:hulking_zombie, 16, 1, 3
1112, mountain, minecraft:snowy_slopes, MONSTER, mna:mushroom_soldier, 16, 1, 3
1113, mountain, minecraft:snowy_slopes, MONSTER, mna:spell_breaker, 16, 1, 3
1114, mountain, minecraft:snowy_slopes, MONSTER, mna:skeleton_assassin, 16, 1, 3
1115, mountain, minecraft:snowy_slopes, MONSTER, player_mobs:player_mob, 50, 1, 4
1116, mountain, minecraft:snowy_slopes, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
1117, mountain, minecraft:snowy_slopes, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1118, mountain, minecraft:snowy_slopes, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1119, mountain, minecraft:snowy_slopes, MONSTER, quark:stoneling, 50, 1, 1
1120, mountain, minecraft:snowy_slopes, MONSTER, quark:toretoise, 50, 2, 4
1121, mountain, minecraft:snowy_slopes, CREATURE, minecraft:rabbit, 10, 2, 3
1122, mountain, minecraft:snowy_slopes, CREATURE, minecraft:goat, 10, 1, 3
1123, mountain, minecraft:snowy_slopes, CREATURE, ars_nouveau:starbuncle, 10, 1, 1
1124, mountain, minecraft:snowy_slopes, CREATURE, ars_nouveau:whirlisprig, 10, 1, 1
1125, mountain, minecraft:snowy_slopes, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1126, mountain, minecraft:snowy_slopes, CREATURE, quark:shiba, 40, 1, 3
1127, mountain, minecraft:snowy_slopes, AMBIENT, minecraft:bat, 10, 8, 8
1128, mountain, minecraft:snowy_slopes, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
1129, mountain, minecraft:frozen_peaks, MONSTER, minecraft:spider, 50, 4, 4
1130, mountain, minecraft:frozen_peaks, MONSTER, minecraft:zombie, 50, 4, 4
1131, mountain, minecraft:frozen_peaks, MONSTER, minecraft:zombie_villager, 10, 1, 1
1132, mountain, minecraft:frozen_peaks, MONSTER, minecraft:skeleton, 50, 4, 4
1133, mountain, minecraft:frozen_peaks, MONSTER, minecraft:slime, 50, 4, 4
1134, mountain, minecraft:frozen_peaks, MONSTER, minecraft:enderman, 5, 1, 4
1135, mountain, minecraft:frozen_peaks, MONSTER, minecraft:witch, 5, 1, 1
1136, mountain, minecraft:frozen_peaks, MONSTER, vampirism:vampire, 50, 1, 3
1137, mountain, minecraft:frozen_peaks, MONSTER, vampirism:advanced_vampire, 26, 1, 1
1138, mountain, minecraft:frozen_peaks, MONSTER, creeperoverhaul:snowy_creeper, 50, 2, 2
1139, mountain, minecraft:frozen_peaks, MONSTER, creeperoverhaul:cave_creeper, 50, 2, 2
1140, mountain, minecraft:frozen_peaks, MONSTER, graveyard:ghoul, 25, 2, 5
1141, mountain, minecraft:frozen_peaks, MONSTER, graveyard:revenant, 25, 5, 8
1142, mountain, minecraft:frozen_peaks, MONSTER, graveyard:reaper, 10, 2, 3
1143, mountain, minecraft:frozen_peaks, MONSTER, graveyard:nightmare, 10, 1, 1
